GPCR,STANDARD_VALUE,smiles
P31391,-2.539,CC(C(CO)NC(=O)C1CC=CCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC(=O)C3=CC=CC=C3)CCCCN)CC4=CC5=CC=CC=C5N4)CC6=CC=CC=C6)NC(=O)C(CC7=CC=CC=C7)N)O
P31391,-0.38,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)N)C(=O)O)CC4=CC=CC=C4)C(C)O)CCCCN)CC5=CNC6=CC=CC=C65
P31391,-3.394,C1CC(CC(C1)CNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)N4CCC5(CC4)C=CC6=CC=CC=C56)CN
P31391,-1.82,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N
P31391,-2.425,CC(C)NCC1=CC=C(C=C1)CC2C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N2)N(C)C(=O)C3=CC4=CC=CC=C4C=C3)CC5=CC=CC=C5)N)C(=O)N)CC6=CC=C(C=C6)O
P31391,-3.477,C1C(C(OC(C1OCC2=CN=CN2)OCCC3=CNC4=CC=CC=C43)COCCCCCN)OCC5=CC=CC=C5
P31391,0,CC(C1C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)NC(=O)N)C(=O)O)CC6=CC=C(C=C6)O)O
P31391,-3.478,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CN=CN4)NC(=O)C(CC5=CC=CC(=C5)C6=CC=CC=C6)N)C(=O)NC(CC7=CC=CC(=C7)C8=CC=CC=C8)C(=O)N
P31391,-3.23,C1=CC(=C(C=C1CN(CCCNC(=S)NCCCN2C=CN=C2)C3=NC=C(C=C3)Br)Cl)Cl
P31391,-0.362,CC(C)C(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)N)C(=O)O)CC4=CC=CC=C4)C(C)O)CCCCN)CC5=CNC6=CC=CC=C65)C7=CC=C(C=C7)NC
P31391,-2.895,C1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSS1)C(=O)O)CC2=CC=CC=C2)CCCCN)CC3=CNC4=CC=CC=C43)CC5=CC=CC=C5)CC6=CC=CC=C6)N
P31391,-2.643,CSC1C(C(C(C(O1)COCC2=CC3=CC=CC=C3C=C2)O)OCC4=CC5=CC=CC=C5C=C4)NC(=O)CCN
P31391,-3.599,C1=CC=C(C=C1)C2=CN=C(N2)C(CC3=CNC4=CC=CC=C43)N=C(C5=CC=C(C=C5)OC(F)(F)F)N
P31391,-3,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)O)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=C(C=C5)Cl)NC(=O)C(CC6=CC=CC=C6)N
P31391,-2.958,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(CC2=CC=C(C=C2)Cl)N)C(=O)NC(CC3=CC4=CC=CC=C4C=C3)C(=O)N)C(C)O)CCCCN)CC5=CNC6=CC=CC=C65
P31391,-0.484,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CC3=CC=CC=C3N2)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C6CCCN6C(=O)C(C)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C7CCCN7C(=O)C(CC(=O)N)NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CO)N)C(=O)O)CO)C(C)O)CC8=CC=CC=C8)O
P31391,-4.18,CN1CC(CC2C1CC3=C(C2)C(=CC=C3)OC)C(=O)N4CCN(CC4)C5=CC=C(C=C5)[N+](=O)[O-]
P31391,-1.204,C1=CC=C2C(=C1)C=CC=C2CN(CCCNC(=S)NCCCC3=CN=CN3)C4=NC=C(C=C4)Br
P31391,-3.312,CC(C)CCC1(C(=O)C(=CN1)C2(C(=O)C(=CN2)C3(C(=O)C(=CN3)C4(C(=O)C(=CN4)CC5=CC=CC=C5)CC(C)C)CCCN)CC6=CC=CC=C6)CC7=CC=CC=C7
P31391,-2.551,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCC[NH3+])CC2=CNC3=CC=CC=C32)CC4=CC(=C(C=C4)O)I)NC(=O)C(CC5=CC=CC=C5)NC(=O)CCSC6C(C(C(C(O6)CO)O)O)O)C(=O)NC(C(C)O)C(=O)O)O
P31391,-2.29,C1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSS1)C(=O)NCC2=CC=CC3=CC=CC=C32)CO)CCCCN)CC4=CNC5=CC=CC=C54)CC6=CC=C(C=C6)O)NC(=O)C(CC7=CC=CC=C7)N
P31391,-0.079,CC(C1C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CC=CC3=CC=CC=C32)CC4=CC=C(C=C4)O)CC5=CC=CC=C5)N)C(=O)O)CC6=CC=CC=C6)O
P31391,-3,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=C(C=C5)O)N)C(=O)NC(CC6=CC7=CC=CC=C7C=C6)C(=O)N
P31391,-0.519,C1C(C(=O)N(CC2=C1C3=CC=CC=C3N2)C(CCCCN)C(=O)NCC4=CC=CC=C4)NC(=O)CC5=CC=CC=C5C(=O)
